freight_value,payment_value,payment_installments,product_weight_g,delivery_days,price,review_score
18.3,46.2,1,150.0,9.0,27.9,3
9.34,59.34,1,500.0,3.0,50.0,5
19.41,209.41,1,7350.0,6.0,190.0,5
14.1,57.0,4,250.0,9.0,42.9,4
14.66,84.56,1,500.0,17.0,69.9,5
15.56,267.8,1,705.0,19.0,38.0,1
15.84,145.66,5,400.0,10.0,56.99,5
12.84,37.83,1,300.0,9.0,24.99,5
15.28,227.2,1,600.0,6.0,219.0,1
15.28,7.08,1,600.0,6.0,219.0,1
7.91,201.82,1,350.0,2.0,93.0,4
7.78,27.77,2,100.0,2.0,19.99,3
14.1,59.1,1,100.0,18.0,45.0,5
8.78,66.98,1,83.0,4.0,58.2,5
21.27,132.26,3,1750.0,8.0,110.99,3
24.84,63.34,5,950.0,20.0,38.5,4
51.13,231.12,1,7417.0,23.0,179.99,2
30.36,574.36,1,10600.0,11.0,544.0,5
15.1,29.92,2,400.0,13.0,14.82,5
14.89,409.79,1,813.0,17.0,394.9,4
12.79,62.69,6,450.0,10.0,49.9,5
16.38,105.56,5,750.0,24.0,89.18,5
7.39,37.38,1,150.0,3.0,29.99,4
17.66,76.65,7,200.0,20.0,58.99,5
22.4,120.84,4,200.0,16.0,98.44,1
18.79,238.69,1,342.0,19.0,219.9,4
13.08,772.08,8,475.0,7.0,759.0,5
37.37,103.27,1,500.0,13.0,65.9,5
12.79,23.69,2,200.0,4.0,10.9,5
17.84,101.74,5,1500.0,36.0,83.9,1
10.96,22.03,1,300.0,10.0,17.9,5
10.96,6.83,1,300.0,10.0,17.9,5
18.57,117.77,2,375.0,13.0,99.2,5
12.14,172.14,2,1400.0,2.0,160.0,5
12.69,42.59,3,2600.0,6.0,29.9,5
7.39,21.38,1,200.0,3.0,13.99,5
18.5,554.4,8,593.0,7.0,535.9,4
26.11,96.01,1,12300.0,9.0,69.9,4
20.0,609.9,6,2550.0,12.0,589.9,4
15.1,42.4,1,200.0,12.0,27.3,5
17.41,253.4,1,4338.0,11.0,235.99,2
8.72,28.62,1,350.0,3.0,19.9,1
14.1,40.09,4,500.0,56.0,25.99,1
7.94,26.44,1,100.0,1.0,18.5,5
16.54,132.88,1,450.0,5.0,49.9,5
26.9,111.89,3,2200.0,6.0,84.99,5
32.79,231.79,8,7750.0,12.0,199.0,4
25.61,135.51,5,1975.0,54.0,109.9,3
8.11,38.1,1,150.0,1.0,29.99,5
14.13,74.03,7,7000.0,1.0,59.9,5
15.1,58.0,5,267.0,15.0,42.9,1
23.02,66.02,6,250.0,7.0,43.0,5
14.1,53.2,1,150.0,21.0,12.5,4
8.41,518.39,1,2050.0,6.0,179.9,3
28.05,518.39,1,10475.0,6.0,119.99,3
32.05,518.39,1,10975.0,6.0,149.99,3
18.25,78.15,1,2750.0,11.0,59.9,4
14.58,84.57,3,1350.0,5.0,69.99,5
25.4,155.0,3,2600.0,27.0,129.6,1
39.28,142.16,10,3450.0,6.0,31.8,4
12.0,141.9,1,1550.0,1.0,129.9,1
13.72,113.62,1,1500.0,5.0,99.9,4
15.77,161.77,1,444.0,7.0,146.0,5
8.27,95.52,2,100.0,5.0,39.49,5
13.6,68.59,1,300.0,11.0,54.99,5
16.39,106.38,1,250.0,9.0,89.99,1
11.77,141.67,2,1150.0,3.0,129.9,5
19.98,89.88,2,2267.0,6.0,69.9,5
12.7,187.2,1,207.0,8.0,80.9,5
8.03,118.35,1,150.0,8.0,110.32,5
6.75,309.72,1,600.0,2.0,91.99,5
13.5,309.72,1,500.0,2.0,91.99,5
13.47,38.47,3,250.0,7.0,25.0,5
53.01,312.91,1,18400.0,7.0,259.9,5
12.79,51.79,1,5650.0,8.0,39.0,5
4.39,232.14,8,350.0,6.0,104.9,1
12.53,232.14,8,150.0,6.0,110.32,1
15.79,22.79,1,200.0,8.0,7.0,2
17.6,67.5,1,1750.0,28.0,49.9,1
29.68,156.67,1,6150.0,14.0,126.99,5
24.84,53.83,5,150.0,15.0,28.99,5
17.73,299.72,10,800.0,10.0,281.99,5
7.39,314.34,1,200.0,4.0,45.0,5
8.39,97.88,1,353.0,5.0,89.49,5
15.18,75.18,1,600.0,15.0,60.0,5
25.66,161.3,1,200.0,17.0,49.99,5
25.66,161.3,1,200.0,17.0,59.99,5
23.46,117.45,4,1800.0,9.0,93.99,5
21.53,170.43,5,8350.0,23.0,148.9,5
21.16,141.06,1,2100.0,11.0,119.9,3
15.58,134.58,1,200.0,7.0,119.0,5
11.85,59.85,1,200.0,8.0,48.0,5
19.53,68.63,1,518.0,3.0,49.1,4
19.66,86.05,1,750.0,3.0,66.39,5
24.84,64.74,1,800.0,14.0,39.9,4
57.79,217.78,5,10700.0,15.0,159.99,5
17.6,67.5,6,1600.0,14.0,49.9,4
16.14,29.13,1,342.0,18.0,199.0,5
16.14,23.09,1,342.0,18.0,199.0,5
16.14,162.92,1,342.0,18.0,199.0,5
25.34,126.67,1,500.0,4.0,28.0,5
25.34,126.67,1,1650.0,4.0,47.99,5
55.69,285.59,1,9350.0,5.0,229.9,5
28.2,145.5,8,4105.0,20.0,117.3,4
7.39,43.29,4,264.0,6.0,35.9,5
13.51,38.41,1,100.0,8.0,24.9,5
42.59,402.49,1,6200.0,19.0,359.9,5
12.19,110.89,6,150.0,10.0,98.7,5
24.55,204.45,3,12700.0,8.0,179.9,1
9.45,109.35,1,750.0,2.0,99.9,5
11.94,74.74,1,175.0,5.0,62.8,3
11.86,56.86,1,1500.0,5.0,45.0,2
17.81,97.81,1,1850.0,10.0,80.0,5
23.35,133.25,1,9400.0,12.0,109.9,5
21.95,180.95,1,3300.0,13.0,159.0,5
35.32,445.32,1,2650.0,21.0,410.0,4
14.52,52.51,5,150.0,5.0,37.99,5
14.16,124.16,5,10800.0,8.0,110.0,5
13.08,65.47,1,2450.0,2.0,52.39,5
10.79,98.16,1,1100.0,19.0,87.37,4
15.79,40.78,1,300.0,20.0,24.99,5
15.67,273.27,2,1550.0,7.0,257.6,5
23.73,106.73,1,650.0,10.0,83.0,5
27.2,187.19,1,3050.0,10.0,159.99,3
15.01,389.82,4,450.0,11.0,179.9,5
33.96,393.46,10,3400.0,10.0,359.5,5
16.11,122.22,1,550.0,12.0,45.0,4
19.85,698.85,7,605.0,10.0,679.0,2
14.34,99.33,4,550.0,9.0,84.99,5
8.29,58.28,2,250.0,4.0,49.99,4
17.13,77.03,1,7000.0,8.0,59.9,4
9.74,49.73,1,350.0,8.0,39.99,3
0.0,139.8,1,2600.0,7.0,69.9,2
16.46,86.36,1,800.0,22.0,69.9,4
18.95,423.67,10,1450.0,11.0,167.0,3
68.23,423.67,10,3000.0,11.0,169.49,3
13.01,108.01,1,7700.0,3.0,95.0,5
7.46,35.36,1,50.0,4.0,27.9,5
15.8,305.7,5,1725.0,6.0,289.9,5
26.36,216.26,3,450.0,26.0,189.9,3
13.15,83.05,1,125.0,6.0,69.9,5
21.78,121.68,1,2500.0,7.0,99.9,5
7.78,57.68,1,100.0,8.0,49.9,5
24.97,92.97,1,900.0,18.0,68.0,4
9.34,35.24,1,750.0,7.0,25.9,5
16.64,286.54,3,2800.0,7.0,269.9,3
25.21,44.41,1,3000.0,11.0,52.88,5
25.21,33.68,1,3000.0,11.0,52.88,5
21.2,301.19,7,4175.0,10.0,279.99,5
38.88,140.88,1,11325.0,1.0,102.0,5
12.79,41.69,4,800.0,5.0,28.9,4
7.87,20.75,1,180.0,13.0,12.88,4
35.43,165.4,3,8300.0,20.0,129.97,5
6.56,102.56,1,396.0,15.0,96.0,5
19.65,84.64,8,1250.0,10.0,64.99,1
18.51,446.51,4,13100.0,7.0,428.0,5
57.79,217.78,10,10700.0,16.0,159.99,5
18.09,138.09,1,1300.0,12.0,120.0,4
12.69,50.68,5,500.0,12.0,37.99,5
14.11,170.1,6,475.0,14.0,155.99,5
19.98,89.88,1,2600.0,11.0,69.9,5
13.65,103.55,3,1650.0,8.0,89.9,4
25.14,160.14,3,1850.0,15.0,135.0,5
14.1,46.0,2,200.0,9.0,31.9,5
13.47,63.46,6,250.0,8.0,49.99,3
8.22,145.0,3,550.0,6.0,136.78,5
18.7,136.4,1,550.0,16.0,117.7,5
11.74,34.24,3,550.0,10.0,22.5,4
16.54,146.44,2,2500.0,6.0,129.9,5
18.65,257.94,8,150.0,12.0,110.32,1
15.2,80.1,2,150.0,9.0,64.9,5
14.17,74.16,3,350.0,13.0,59.99,5
18.0,338.0,2,600.0,6.0,320.0,5
54.65,183.65,2,6550.0,10.0,129.0,4
8.72,18.62,1,200.0,12.0,9.9,5
17.27,753.94,1,13150.0,24.0,359.7,5
14.1,64.09,2,200.0,10.0,49.99,3
11.15,59.47,1,1700.0,7.0,48.32,4
16.28,91.18,5,850.0,13.0,74.9,4
18.33,83.33,1,300.0,10.0,65.0,5
10.96,28.46,2,255.0,12.0,17.5,4
15.1,53.3,1,450.0,13.0,38.2,5
8.29,76.29,1,233.0,1.0,68.0,5
19.82,403.32,1,1600.0,9.0,383.5,4
15.31,95.21,4,900.0,8.0,79.9,5
11.85,103.5,3,900.0,6.0,39.9,5
12.89,211.89,1,4050.0,6.0,199.0,5
12.4,111.4,3,1450.0,6.0,99.0,2
23.42,43.32,3,8350.0,19.0,119.9,5
23.42,100.0,1,8350.0,19.0,119.9,5
10.96,31.06,1,200.0,16.0,34.99,5
10.96,14.89,1,200.0,16.0,34.99,5
24.26,100.0,1,1900.0,81.0,199.0,1
24.26,123.26,5,1900.0,81.0,199.0,1
19.7,124.7,1,1000.0,9.0,105.0,5
16.79,41.69,1,300.0,10.0,24.9,3
17.03,216.93,8,2600.0,6.0,199.9,5
10.97,241.74,6,427.0,6.0,109.9,5
17.37,136.37,2,1650.0,7.0,119.0,5
10.96,30.96,1,100.0,12.0,20.0,4
13.83,48.83,1,650.0,3.0,35.0,5
18.2,75.1,1,1850.0,8.0,56.9,5
16.67,76.67,7,850.0,4.0,60.0,4
19.13,198.12,2,292.0,17.0,178.99,5
9.06,132.05,1,400.0,10.0,122.99,5
18.46,112.46,1,1150.0,10.0,94.0,4
13.52,84.43,5,1200.0,22.0,70.91,1
35.74,210.64,4,5000.0,12.0,174.9,5
14.86,124.76,1,1225.0,7.0,109.9,4
9.74,69.73,1,525.0,14.0,59.99,5
18.23,31.22,3,100.0,12.0,12.99,5
8.88,22.18,1,700.0,4.0,13.3,5
11.95,76.85,1,250.0,13.0,64.9,5
16.79,32.69,3,75.0,22.0,15.9,4
20.6,100.57,1,8809.0,19.0,79.97,5
8.32,88.31,2,250.0,2.0,79.99,5
10.66,55.56,1,200.0,9.0,44.9,5
38.96,363.96,5,400.0,20.0,325.0,5
12.01,84.91,1,400.0,23.0,72.9,5
98.02,207.02,3,7450.0,22.0,109.0,4
24.47,419.12,8,450.0,10.0,394.65,5
7.78,42.27,1,600.0,4.0,34.49,4
27.75,94.74,4,350.0,11.0,66.99,5
24.73,79.63,1,650.0,13.0,54.9,2
24.06,194.06,8,4338.0,24.0,170.0,3
11.85,39.75,1,600.0,20.0,27.9,5
10.96,50.86,5,150.0,14.0,39.9,5
18.21,108.2,2,1200.0,12.0,89.99,5
17.84,102.74,1,800.0,28.0,84.9,5
37.15,72.05,1,500.0,9.0,34.9,5
7.39,24.38,1,250.0,1.0,16.99,4
7.78,56.78,1,250.0,5.0,49.0,5
12.33,131.33,1,1500.0,14.0,119.0,3
19.41,65.96,4,475.0,8.0,219.0,5
19.41,53.89,1,475.0,8.0,219.0,5
19.41,118.56,6,475.0,8.0,219.0,5
18.79,148.69,1,100.0,6.0,129.9,3
27.16,116.34,1,750.0,26.0,89.18,5
12.13,204.06,2,1383.0,11.0,89.9,5
12.13,204.06,2,1825.0,11.0,89.9,5
17.8,96.8,1,6350.0,31.0,79.0,5
15.69,130.69,1,375.0,11.0,115.0,4
23.17,322.17,6,2850.0,13.0,299.0,5
15.29,275.19,8,3200.0,1.0,259.9,4
22.32,78.22,1,185.0,10.0,55.9,4
10.96,40.86,4,400.0,6.0,29.9,5
31.97,206.87,1,4950.0,7.0,174.9,4
129.84,998.49,1,544.0,9.0,217.85,1
8.66,998.49,1,300.0,9.0,142.9,1
32.81,257.42,4,1700.0,15.0,95.9,4
11.85,61.75,5,450.0,4.0,49.9,5
37.04,77.03,7,150.0,23.0,39.99,5
7.88,96.88,5,200.0,2.0,89.0,5
13.47,57.46,1,258.0,17.0,43.99,3
13.44,73.34,2,1650.0,8.0,59.9,5
18.25,39.75,2,100.0,7.0,21.5,5
19.08,159.07,1,250.0,8.0,139.99,4
59.14,159.04,1,4100.0,20.0,99.9,3
14.1,34.0,1,300.0,12.0,19.9,4
9.34,48.91,1,650.0,5.0,39.9,5
9.34,0.33,1,650.0,5.0,39.9,5
11.86,63.86,1,300.0,6.0,52.0,4
18.36,177.36,1,2500.0,7.0,159.0,5
11.94,143.94,1,1400.0,2.0,132.0,5
34.52,174.42,2,6550.0,16.0,139.9,5
45.45,180.45,1,18500.0,27.0,135.0,1
12.57,165.57,3,2400.0,10.0,153.0,5
16.35,101.34,1,550.0,30.0,84.99,5
9.42,69.32,5,600.0,2.0,59.9,5
9.66,139.56,5,393.0,2.0,129.9,5
16.11,54.36,1,583.0,13.0,38.25,5
24.7,436.7,5,9100.0,8.0,412.0,5
24.05,192.95,3,2400.0,24.0,168.9,4
107.43,1255.43,10,18450.0,14.0,1148.0,5
17.64,72.64,7,1250.0,18.0,55.0,5
12.79,51.79,1,900.0,7.0,39.0,4
20.98,0.23,1,2500.0,12.0,69.9,5
20.98,30.22,1,2500.0,12.0,69.9,5
20.98,30.21,1,2500.0,12.0,69.9,5
14.32,307.64,4,420.0,11.0,139.5,1
15.25,85.24,1,500.0,17.0,69.99,5
16.79,41.69,4,450.0,13.0,24.9,5
21.02,96.02,9,5750.0,8.0,75.0,5
7.39,26.29,1,200.0,5.0,18.9,4
20.6,1119.6,10,4683.0,3.0,1099.0,3
17.2,83.1,1,1200.0,19.0,65.9,5
15.1,44.0,1,500.0,8.0,28.9,4
22.09,44.41,4,200.0,11.0,22.32,5
32.09,2031.09,1,550.0,9.0,1999.0,5
18.68,222.68,1,342.0,34.0,204.0,1
18.58,87.58,8,341.0,6.0,69.0,5
15.22,264.22,3,450.0,9.0,249.0,5
18.21,368.11,8,525.0,10.0,349.9,5
31.48,96.47,1,1050.0,2.0,64.99,4
35.38,221.28,2,8975.0,6.0,185.9,5
17.52,172.42,5,300.0,14.0,154.9,5
17.16,283.54,5,150.0,11.0,110.32,5
17.16,283.54,5,350.0,11.0,138.9,5
23.22,44.37,3,5500.0,16.0,21.15,5
16.11,161.01,2,200.0,6.0,144.9,5
8.17,139.17,6,200.0,11.0,131.0,5
23.24,117.74,8,2150.0,11.0,94.5,5
22.43,125.33,4,314.0,28.0,102.9,5
19.42,201.42,8,700.0,8.0,182.0,5
12.79,30.79,2,150.0,6.0,18.0,5
23.49,190.48,1,2425.0,23.0,166.99,4
7.78,33.77,1,200.0,2.0,25.99,5
25.63,27.77,2,100.0,13.0,29.99,5
25.63,27.85,2,100.0,13.0,29.99,5
12.88,44.87,1,200.0,9.0,31.99,4
16.99,383.98,1,850.0,8.0,175.0,4
23.22,83.22,1,1150.0,9.0,60.0,5
12.93,81.86,1,700.0,6.0,84.94,5
12.93,16.01,1,700.0,6.0,84.94,5
14.52,109.26,1,300.0,7.0,21.9,3
15.37,104.37,3,275.0,9.0,89.0,1
45.58,205.57,5,10725.0,14.0,159.99,4
37.39,137.38,1,400.0,11.0,99.99,5
9.58,104.08,3,641.0,1.0,94.5,5
32.8,222.7,1,5950.0,9.0,189.9,5
14.31,44.3,1,1813.0,18.0,79.99,5
14.31,50.0,1,1813.0,18.0,79.99,5
14.2,79.2,1,133.0,9.0,65.0,4
20.58,95.58,1,250.0,11.0,75.0,1
18.65,128.55,1,350.0,10.0,109.9,5
79.86,148.76,6,3900.0,14.0,68.9,3
9.34,138.48,8,275.0,7.0,59.9,4
7.78,72.68,7,250.0,7.0,64.9,5
15.23,32.13,2,150.0,5.0,16.9,5
38.21,150.21,1,10900.0,25.0,112.0,3
52.77,112.77,2,600.0,15.0,60.0,5
10.32,180.32,2,486.0,8.0,170.0,5
21.85,171.84,4,500.0,10.0,149.99,1
15.79,43.78,1,300.0,14.0,27.99,3
21.01,100.91,3,300.0,23.0,79.9,4
20.26,205.26,3,1300.0,14.0,185.0,5
17.7,82.59,1,1720.0,14.0,64.89,5
22.93,52.92,2,350.0,8.0,29.99,5
9.45,188.94,2,550.0,0.0,179.49,5
17.67,77.66,1,700.0,11.0,59.99,5
16.02,195.92,1,700.0,11.0,179.9,5
15.35,100.34,5,600.0,6.0,84.99,5
13.44,73.34,1,1225.0,5.0,59.9,4
13.78,499.4,1,1217.0,17.0,235.92,5
9.3,301.3,1,350.0,12.0,292.0,3
12.76,145.5,5,1450.0,10.0,59.99,1
7.39,55.04,2,1110.0,9.0,47.65,5
17.88,107.87,6,1200.0,18.0,89.99,1
9.66,306.16,4,155.0,9.0,296.5,4
61.24,2751.24,10,25000.0,31.0,2690.0,1
41.33,91.23,9,1500.0,10.0,49.9,5
47.8,154.7,3,1350.0,9.0,106.9,5
7.94,355.77,5,150.0,9.0,120.0,1
23.83,355.77,5,200.0,9.0,204.0,1
16.11,138.03,2,400.0,8.0,29.9,4
16.11,138.03,2,300.0,8.0,29.9,4
12.9,212.88,8,586.0,19.0,199.98,1
8.72,65.71,2,250.0,7.0,56.99,5
12.8,32.7,1,175.0,5.0,19.9,5
0.0,99.9,3,584.0,5.0,99.9,4
25.71,87.21,4,100.0,20.0,61.5,5
14.41,109.31,5,500.0,5.0,94.9,5
34.35,133.35,4,3850.0,13.0,99.0,5
8.11,49.41,1,300.0,2.0,41.3,5
19.22,179.22,8,350.0,5.0,160.0,3
17.8,141.97,1,3200.0,7.0,124.17,5
14.15,50.01,1,400.0,13.0,56.99,1
14.15,21.13,1,400.0,13.0,56.99,1
14.15,0.0,1,400.0,13.0,56.99,1
13.52,85.52,7,1500.0,7.0,72.0,5
43.8,272.8,5,12250.0,7.0,229.0,5
17.6,67.6,5,6600.0,4.0,50.0,5
18.23,134.66,1,410.0,4.0,49.1,4
23.08,63.08,3,1350.0,9.0,40.0,5
17.85,149.85,6,150.0,7.0,132.0,5
18.23,46.13,1,50.0,11.0,27.9,4
16.37,326.36,1,8200.0,10.0,309.99,5
20.23,200.23,5,501.0,14.0,180.0,4
12.77,86.67,1,400.0,6.0,73.9,1
18.25,374.15,10,900.0,12.0,355.9,5
19.83,378.83,1,9350.0,24.0,359.0,5
15.71,134.71,10,400.0,13.0,119.0,5
15.1,27.98,2,180.0,10.0,12.88,5
14.08,63.98,1,2750.0,13.0,49.9,5
15.1,44.1,1,200.0,8.0,29.0,4
19.04,112.86,2,750.0,11.0,37.39,1
15.79,64.79,1,650.0,10.0,49.0,5
11.78,120.68,2,1850.0,5.0,108.9,5
18.26,73.25,3,400.0,59.0,54.99,5
14.25,86.25,1,300.0,13.0,72.0,4
19.34,189.34,10,700.0,8.0,170.0,5
7.46,35.45,3,300.0,4.0,27.99,4
30.47,208.7,2,900.0,24.0,74.9,5
28.43,208.7,2,1400.0,24.0,74.9,5
16.79,66.78,1,236.0,23.0,49.99,5
27.07,70.06,1,1150.0,9.0,42.99,5
16.86,76.76,3,371.0,38.0,59.9,3
145.99,695.99,1,30000.0,49.0,550.0,1
17.67,155.14,4,1650.0,13.0,59.9,1
32.67,1727.67,10,340.0,40.0,1695.0,1
29.55,69.45,1,200.0,14.0,39.9,5
19.85,299.75,8,3850.0,15.0,279.9,5
10.96,41.86,1,400.0,7.0,30.9,5
20.91,143.9,3,700.0,16.0,122.99,5
11.85,31.75,1,178.0,4.0,19.9,5
36.24,95.24,5,5500.0,20.0,59.0,5
18.32,171.32,6,1850.0,28.0,153.0,1
6.25,218.0,4,3100.0,19.0,21.0,3
10.42,218.0,4,5200.0,19.0,35.0,3
8.34,218.0,4,4300.0,19.0,28.0,3
14.52,44.42,3,150.0,11.0,29.9,5
33.53,413.53,3,2900.0,16.0,380.0,2
17.07,106.97,1,450.0,16.0,89.9,3
17.78,45.78,1,400.0,15.0,28.0,4
129.74,429.64,1,11600.0,9.0,299.9,5
7.64,117.96,2,100.0,3.0,110.32,5
23.05,58.95,1,1150.0,4.0,35.9,5
14.1,44.09,1,600.0,11.0,29.99,5
19.37,76.34,2,750.0,19.0,56.97,4
13.07,117.97,1,526.0,13.0,104.9,5
21.05,921.04,1,900.0,14.0,899.99,3
9.09,48.99,1,200.0,6.0,39.9,4
7.46,35.36,1,150.0,5.0,27.9,5
14.07,164.06,1,600.0,13.0,149.99,5
23.42,224.84,8,900.0,5.0,89.0,2
19.5,95.4,1,700.0,10.0,75.9,4
13.07,124.14,1,300.0,2.0,59.0,3
13.07,20.0,1,300.0,2.0,59.0,3
14.52,42.42,1,200.0,25.0,27.9,3
12.4,109.2,5,1650.0,3.0,196.8,5
12.4,100.0,1,1650.0,3.0,196.8,5
18.11,140.61,2,1000.0,12.0,122.5,5
31.82,311.81,2,14000.0,8.0,279.99,3
21.08,110.98,8,325.0,6.0,89.9,5
7.39,20.04,1,150.0,6.0,12.65,5
21.02,916.02,4,11800.0,12.0,895.0,5
16.05,43.95,1,100.0,14.0,27.9,5
19.03,20.03,2,405.0,30.0,69.99,1
19.03,68.99,5,405.0,30.0,69.99,1
37.27,596.27,10,17600.0,17.0,559.0,5
19.25,215.15,5,337.0,11.0,195.9,4
15.18,75.08,1,800.0,6.0,59.9,5
11.85,31.75,1,600.0,13.0,19.9,5
8.72,48.71,1,317.0,8.0,39.99,4
16.18,76.17,1,800.0,5.0,59.99,4
13.92,193.82,3,300.0,6.0,179.9,5
16.07,205.07,2,500.0,29.0,189.0,3
15.38,105.28,1,1383.0,7.0,89.9,3
20.43,228.43,1,550.0,11.0,208.0,5
14.52,36.52,1,200.0,16.0,22.0,1
17.97,197.87,8,2900.0,5.0,179.9,2
37.05,196.95,4,8100.0,2.0,159.9,3
15.56,213.56,8,610.0,10.0,198.0,4
17.74,300.76,1,725.0,18.0,283.02,4
11.85,36.35,1,150.0,13.0,24.5,4
21.47,502.12,8,667.0,5.0,480.65,4
20.11,339.09,10,300.0,8.0,318.98,5
16.79,36.69,1,150.0,14.0,19.9,5
15.67,192.14,1,4825.0,28.0,80.4,5
18.17,198.16,2,2250.0,7.0,179.99,4
7.39,20.29,1,300.0,3.0,12.9,5
131.73,1480.73,1,8700.0,11.0,1349.0,1
15.38,210.56,2,1383.0,11.0,89.9,5
15.38,210.56,2,1825.0,11.0,89.9,5
10.46,345.46,6,450.0,6.0,335.0,3
7.94,32.94,3,350.0,4.0,25.0,5
14.1,42.09,3,300.0,7.0,27.99,4
24.42,324.32,4,11100.0,22.0,299.9,4
16.79,42.69,1,100.0,21.0,25.9,3
9.13,63.12,1,850.0,1.0,53.99,4
10.96,34.86,1,225.0,10.0,23.9,5
25.51,135.41,1,2500.0,15.0,109.9,5
41.67,140.67,1,5850.0,7.0,99.0,4
16.57,132.09,3,160.0,19.0,115.52,5
35.48,77.38,1,5575.0,13.0,41.9,4
44.86,400.65,6,9050.0,25.0,355.79,4
12.69,57.59,1,775.0,24.0,44.9,1
13.18,101.78,1,9500.0,12.0,88.6,5
11.45,131.05,2,2600.0,12.0,119.6,4
17.53,783.12,1,8450.0,15.0,112.99,4
11.3,51.2,1,850.0,2.0,39.9,5
22.29,139.59,2,4105.0,14.0,117.3,5
15.1,47.1,1,100.0,7.0,32.0,5
7.39,31.99,1,133.0,3.0,24.6,4
13.57,92.57,2,1000.0,3.0,79.0,5
15.68,148.68,1,200.0,10.0,133.0,1
9.37,88.37,2,250.0,2.0,79.0,5
13.22,93.12,1,330.0,5.0,79.9,5
18.53,135.52,13,8683.0,6.0,116.99,1
22.27,71.27,1,300.0,9.0,49.0,5
12.69,62.08,4,638.0,9.0,49.39,5
53.83,297.2,1,333.0,22.0,243.37,5
58.0,307.0,1,8150.0,17.0,249.0,5
25.68,145.58,2,3450.0,9.0,119.9,5
8.88,137.74,1,950.0,21.0,59.99,4
46.48,335.48,3,10150.0,28.0,289.0,4
15.57,132.57,1,250.0,35.0,117.0,5
17.92,53.82,3,700.0,12.0,35.9,5
